# Knowledge skip list for RimTalk_GenKnowledge
# Format supported:
# 1) ProcessorId|logicalKey|defName|modPackageId
# 2) logicalKey only (e.g. thing:Beer)
# Comment prefixes: # // ;

HediffDefProcessor|hediff:AlcoholAddiction|AlcoholAddiction|ludeon.rimworld
HediffDefProcessor|hediff:AlcoholHigh|AlcoholHigh|ludeon.rimworld
HediffDefProcessor|hediff:AlcoholTolerance|AlcoholTolerance|ludeon.rimworld
HediffDefProcessor|hediff:Alzheimers|Alzheimers|ludeon.rimworld
HediffDefProcessor|hediff:Anesthetic|Anesthetic|ludeon.rimworld
HediffDefProcessor|hediff:Animal_Flu|Animal_Flu|ludeon.rimworld
HediffDefProcessor|hediff:Animal_Plague|Animal_Plague|ludeon.rimworld
HediffDefProcessor|hediff:Asthma|Asthma|ludeon.rimworld
HediffDefProcessor|hediff:BadBack|BadBack|ludeon.rimworld
HediffDefProcessor|hediff:Blindness|Blindness|ludeon.rimworld
HediffDefProcessor|hediff:BloodLoss|BloodLoss|ludeon.rimworld
HediffDefProcessor|hediff:Carcinoma|Carcinoma|ludeon.rimworld
HediffDefProcessor|hediff:Cataract|Cataract|ludeon.rimworld
HediffDefProcessor|hediff:Cirrhosis|Cirrhosis|ludeon.rimworld
HediffDefProcessor|hediff:Dementia|Dementia|ludeon.rimworld
HediffDefProcessor|hediff:DrugOverdose|DrugOverdose|ludeon.rimworld
HediffDefProcessor|hediff:Flu|Flu|ludeon.rimworld
HediffDefProcessor|hediff:FoodPoisoning|FoodPoisoning|ludeon.rimworld
HediffDefProcessor|hediff:Frail|Frail|ludeon.rimworld
HediffDefProcessor|hediff:Frostbite|Frostbite|ludeon.rimworld
HediffDefProcessor|hediff:GutWorms|GutWorms|ludeon.rimworld
HediffDefProcessor|hediff:Hangover|Hangover|ludeon.rimworld
HediffDefProcessor|hediff:HearingLoss|HearingLoss|ludeon.rimworld
HediffDefProcessor|hediff:HeartArteryBlockage|HeartArteryBlockage|ludeon.rimworld
HediffDefProcessor|hediff:HeartAttack|HeartAttack|ludeon.rimworld
HediffDefProcessor|hediff:Heatstroke|Heatstroke|ludeon.rimworld
HediffDefProcessor|hediff:Hypothermia|Hypothermia|ludeon.rimworld
HediffDefProcessor|hediff:HypothermicSlowdown|HypothermicSlowdown|ludeon.rimworld
HediffDefProcessor|hediff:Malaria|Malaria|ludeon.rimworld
HediffDefProcessor|hediff:Malnutrition|Malnutrition|ludeon.rimworld
HediffDefProcessor|hediff:MuscleParasites|MuscleParasites|ludeon.rimworld
HediffDefProcessor|hediff:OrganDecay|OrganDecay|ludeon.rimworld
HediffDefProcessor|hediff:Plague|Plague|ludeon.rimworld
HediffDefProcessor|hediff:Pregnant|Pregnant|ludeon.rimworld
HediffDefProcessor|hediff:SleepingSickness|SleepingSickness|ludeon.rimworld
HediffDefProcessor|hediff:Sterilized|Sterilized|ludeon.rimworld
HediffDefProcessor|hediff:WoundInfection|WoundInfection|ludeon.rimworld
ThingDefProcessor|thing:AnimalBed|AnimalBed|ludeon.rimworld
ThingDefProcessor|thing:AnimalSleepingBox|AnimalSleepingBox|ludeon.rimworld
ThingDefProcessor|thing:AnimalSleepingSpot|AnimalSleepingSpot|ludeon.rimworld
ThingDefProcessor|thing:Apparel_AdvancedHelmet|Apparel_AdvancedHelmet|ludeon.rimworld
ThingDefProcessor|thing:Apparel_ArmorHelmetRecon|Apparel_ArmorHelmetRecon|ludeon.rimworld
ThingDefProcessor|thing:Apparel_ArmorRecon|Apparel_ArmorRecon|ludeon.rimworld
